Band_ID,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
79296,0,0,0,0,C,0,0,C,0,0,0
79297,0,0,0,0,I,U,0,U,0,0,0
79306,0,0,0,0,0,0,U,0,C,0,0
79308,0,0,0,0,0,0,0,U,U,U,U
79314,0,0,0,0,0,U,U,0,C,0,0
79315,0,0,0,0,0,I,U,0,U,U,0
79316,0,0,0,0,0,C,U,0,0,0,0
79317,0,0,0,0,0,I,0,0,U,C,C
79318,0,0,0,0,0,C,U,U,0,U,C
79319,0,0,0,0,0,I,0,0,0,0,0
79321,0,0,0,0,0,C,0,0,0,0,0
79322,0,0,0,0,0,I,0,0,0,0,0
79323,0,0,0,0,0,C,U,0,0,0,0
79324,0,0,0,0,0,C,0,0,0,C,0
79325,0,0,0,0,0,C,0,0,0,U,C
79326,0,0,0,0,0,C,0,0,0,0,0
79328,0,0,0,0,0,C,0,U,0,U,C
79329,0,0,0,0,0,U,U,0,U,0,0
79330,0,0,0,0,0,0,I,0,0,I,C
79332,0,0,0,0,0,0,C,U,U,0,0
79333,0,0,0,0,0,0,I,U,0,0,U
79334,0,0,0,0,0,0,I,U,U,0,0
79335,0,0,0,0,0,0,C,0,0,0,0
79336,0,0,0,0,0,0,C,C,C,0,0
79337,0,0,0,0,0,0,I,U,0,0,0
79338,0,0,0,0,0,0,C,I,U,C,0
79339,0,0,0,0,0,0,U,C,U,C,C
79340,0,0,0,0,0,C,0,0,0,U,C
79341,0,0,0,0,0,C,U,0,U,C,0
79342,0,0,0,0,0,C,0,0,0,0,0
79343,0,0,0,0,0,C,0,U,0,0,0
79344,0,0,0,0,0,C,0,U,0,0,0
79345,0,0,0,0,0,I,0,0,0,0,0
79346,0,0,0,0,0,C,U,0,0,0,0
79347,0,0,0,0,0,C,U,U,0,U,U
79348,0,0,0,0,0,I,0,U,U,I,I
79350,0,0,0,0,0,0,C,U,0,0,0
79351,0,0,0,0,U,C,0,0,0,0,0
79352,0,0,0,0,U,U,U,0,U,U,0
79353,0,0,0,0,I,0,0,0,0,I,0
79354,0,0,0,0,C,C,C,0,0,0,0
79355,0,0,0,0,C,0,0,0,0,0,0
79356,0,0,0,0,C,U,U,U,U,I,C
79357,0,0,0,0,C,0,U,0,0,U,0
79358,0,0,0,0,C,U,0,0,0,0,0
79359,0,0,0,0,I,0,0,0,0,0,0
79360,0,0,0,0,I,U,U,0,0,0,U
79361,0,0,0,0,C,C,0,C,U,C,0
79385,0,0,0,0,0,U,0,0,0,0,0
79388,0,0,0,0,0,U,0,0,0,0,0
79391,0,0,0,0,C,0,U,U,0,0,0
79392,0,0,0,0,C,0,0,U,I,0,0
79393,0,0,0,0,C,U,U,0,0,0,0
79395,0,0,0,0,0,0,C,0,0,0,0
79396,0,0,0,0,0,0,C,0,0,0,0
79397,0,0,0,0,0,0,C,0,0,0,0
79398,0,0,0,0,0,0,C,0,0,0,0
79399,0,0,0,0,0,0,I,0,U,I,I
10203,0,0,0,0,0,0,C,0,U,0,U
10206,0,0,0,0,0,0,I,U,U,U,0
10207,0,0,0,0,0,0,U,C,C,0,0
10208,0,0,0,0,0,0,C,0,0,U,0
10289,0,0,0,0,0,0,U,U,0,0,0
10292,0,0,0,0,0,0,C,U,U,C,U
10295,0,0,0,0,0,0,C,U,U,U,U
10296,0,0,0,0,0,0,C,0,0,0,0
10298,0,0,0,0,0,0,C,U,U,0,0
10299,0,0,0,0,0,0,C,0,0,0,0
22101,0,0,0,0,0,0,0,C,U,0,U
22102,0,0,0,0,0,0,0,C,0,0,0
22103,0,0,0,0,0,0,0,C,0,0,0
22104,0,0,0,0,0,0,0,I,I,0,I
22105,0,0,0,0,0,0,0,I,U,U,I
22106,0,0,0,0,0,0,0,I,0,0,0
22107,0,0,0,0,0,0,0,I,0,I,I
22108,0,0,0,0,0,0,0,C,0,0,0
22109,0,0,0,0,0,0,0,I,U,0,0
22110,0,0,0,0,0,0,0,0,C,0,U
22111,0,0,0,0,0,0,0,C,0,0,0
22113,0,0,0,0,0,0,0,U,0,0,0
22114,0,0,0,0,0,0,0,C,0,C,C
22115,0,0,0,0,0,0,0,C,0,0,0
22117,0,0,0,0,0,0,0,0,I,0,U
22118,0,0,0,0,0,0,0,0,U,0,U
22119,0,0,0,0,0,0,0,0,C,I,0
22120,0,0,0,0,0,0,0,0,I,0,0
22121,0,0,0,0,0,0,0,I,U,U,0
22122,0,0,0,0,0,0,0,U,U,0,U
22123,0,0,0,0,0,0,0,C,0,0,0
