Sample_ID,Year,Band_ID,AgeClass,Sex,Mass,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L_GenBank,H_GenBank,P_GenBank
EMGO AK09 014,2009,79212,AHY,F,1965,Nesting,1,1,0,0,0,0,0,0,0,MW960787,,
EMGO AK09 015,2009,79205,AHY,F,1792,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 016,2009,79189,AHY,F,1909,Nesting,1,1,1,0,0,0,0,0,0,MW960898,,
EMGO AK09 017,2009,79186,AHY,F,1853,Nesting,0,1,0,0,0,0,0,0,0,MW960846,,
EMGO AK09 018,2009,79191,AHY,F,1709,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 019,2009,79252,AHY,F,1557,Nesting,0,1,0,0,0,0,0,0,0,MW960788,,
EMGO AK09 020,2009,57619,AHY,F,1625,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 021,2009,79185,AHY,F,1730,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 022,2009,79206,AHY,F,1835,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 023,2009,79230,AHY,F,1763,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 024,2009,79187,AHY,F,1738,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 025,2009,79215,AHY,F,1590,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 026,2009,79211,AHY,F,1963,Nesting,1,1,1,0,0,0,0,0,0,,,
EMGO AK09 027,2009,79221,AHY,F,1740,Nesting,1,1,1,0,0,0,0,0,0,MW960789,,
EMGO AK09 028,2009,78721,AHY,F,1445,Nesting,1,1,0,0,0,0,0,0,0,MW960899,,
EMGO AK09 029,2009,79213,AHY,F,1745,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 030,2009,79184,AHY,F,1595,Nesting,1,1,1,0,0,0,0,0,0,MW960847,,
EMGO AK09 031,2009,79204,AHY,F,1732,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 032,2009,79216,AHY,F,1702,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 033,2009,79251,AHY,F,1718,Nesting,0,1,0,0,0,0,0,0,0,MW960790,,
EMGO AK09 034,2009,79183,AHY,F,1589,Nesting,1,1,1,0,0,0,0,0,0,MW960848,,
EMGO AK09 035,2009,78760,AHY,F,2020,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 036,2009,79193,AHY,F,1701,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 037,2009,79182,AHY,F,1680,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 038,2009,79229,AHY,F,1696,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 039,2009,57918,AHY,F,1345,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 041,2009,94205,AHY,F,1678,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 042,2009,79225,AHY,F,1577,Nesting,0,1,0,0,0,0,0,0,0,MW960900,,
EMGO AK09 043,2009,79202,AHY,F,1921,Nesting,0,1,0,0,0,0,0,0,0,MW960849,,
EMGO AK09 044,2009,79223,AHY,F,1526,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 045,2009,79228,AHY,F,1559,Nesting,1,1,0,0,0,0,0,0,0,"MW960850, MW960851",,
EMGO AK09 046,2009,79253,AHY,F,1678,Nesting,1,1,1,0,0,0,0,0,0,"MW960791, MW960792",,
EMGO AK09 047,2009,79224,AHY,F,1638,Nesting,1,1,1,0,0,0,0,0,0,"MW960852, MW960901",,
EMGO AK09 048,2009,79207,AHY,F,1789,Nesting,1,1,0,0,0,0,0,0,0,MW960793,,
EMGO AK09 049,2009,78324,AHY,F,1927,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 050,2009,57630,AHY,F,,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 051,2009,26992,AHY,F,1625,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK09 052,2009,78219,AHY,F,,Nesting,0,0,0,0,0,0,0,0,0,,,
